HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care
"Abilene, TX",980,127,565,772,68,98,"226,444","50,412","45,289","9,563","2,090"
"Akron, OH","1,358",186,518,938,94,140,"547,990","111,042","109,598","22,933","4,959"
"Alameda County, CA","2,695",293,665,"1,680",139,216,"1,310,189","214,991","262,038","53,872","11,400"
"Albany, GA",704,60,221,462,27,43,"157,143","30,466","31,429","6,550","1,410"
"Albany, NY","4,804",425,"1,579","3,191",193,309,"1,477,723","318,695","295,545","62,209","13,545"
"Albuquerque, NM","2,908",380,"1,102","2,005",161,270,"1,336,795","279,457","267,359","56,108","12,174"
"Alexandria, LA",917,43,402,660,20,31,"221,597","44,519","44,319","9,266","2,002"
"Allentown, PA","3,267",334,"1,267","2,267",143,238,"960,572","207,376","192,114","40,442","8,807"
"Altoona, PA",555,61,234,394,27,44,"234,560","56,483","46,912","9,986","2,203"
"Amarillo, TX","1,236",194,678,957,79,137,"332,671","61,267","66,534","13,806","2,955"
"Anchorage, AK","1,583",130,533,"1,058",55,93,"551,912","74,327","110,382","22,385","4,656"
"Ann Arbor, MI","3,014",406,876,"1,945",122,264,"1,115,589","209,105","223,118","46,365","9,942"
"Appleton, WI",448,72,222,335,37,54,"254,546","52,373","50,909","10,668","2,310"
"Arlington, VA","3,116",450,995,"2,055",173,312,"1,909,537","270,129","381,907","77,695","16,225"
"Asheville, NC","1,541",232,556,"1,048",76,154,"553,131","146,572","110,626","23,804","5,316"
"Atlanta, GA","12,780","1,621","3,338","8,059",436,"1,029","5,027,281","799,338","1,005,456","206,224","43,511"
"Augusta, GA","2,194",349,831,"1,512",106,227,"540,242","105,665","108,048","22,537","4,854"
"Aurora, IL",527,55,286,406,25,40,"245,644","34,035","49,129","9,981","2,081"
"Austin, TX","2,775",393,"1,003","1,889",161,277,"1,523,446","208,426","304,689","61,851","12,880"
"Bakersfield, CA","2,429",191,692,"1,561",88,140,"847,115","123,309","169,423","34,533","7,229"
"Baltimore, MD","6,931",844,"1,887","4,409",303,574,"2,015,003","379,769","403,001","83,786","17,976"
"Bangor, ME","1,094",100,400,747,28,64,"318,554","77,904","63,711","13,585","3,003"
"Baton Rouge, LA","2,898",249,"1,159","2,028",119,184,"746,856","127,072","149,371","30,795","6,539"
"Beaumont, TX",908,114,421,665,43,79,"356,372","70,621","71,274","14,884","3,210"
"Bend, OR",415,38,182,298,17,27,"189,876","47,299","37,975","8,114","1,798"
"Billings, MT","2,432",148,931,"1,681",65,106,"476,520","97,688","95,304","19,964","4,322"
"Binghamton, NY","1,005",54,365,685,17,35,"286,154","67,043","57,231","12,148","2,671"
"Birmingham, AL","7,297",991,"2,756","5,027",342,666,"1,774,690","364,610","354,938","74,366","16,104"
"Bismarck, ND",970,80,422,696,43,62,"182,581","38,811","36,516","7,675","1,668"
"Bloomington, IL",394,35,201,298,10,23,"160,796","25,937","32,159","6,603","1,395"
"Blue Island, IL","2,053",308,583,"1,318",118,213,"670,968","134,483","134,194","28,052","6,058"
"Boise, ID","1,773",186,848,"1,310",95,141,"701,166","134,953","140,233","29,208","6,280"
"Boston, MA","10,239","1,157","2,548","6,393",438,798,"4,022,208","782,014","804,442","167,702","36,098"
"Boulder, CO",640,90,297,468,43,67,"267,487","42,093","53,497","10,964","2,311"
"Bradenton, FL",822,104,342,582,49,76,"266,378","82,842","53,276","11,696","2,671"
"Bridgeport, CT","1,354",132,370,862,65,99,"539,133","102,171","107,827","22,428","4,815"
"Bronx, NY","4,012",282,807,"2,410",115,199,"1,094,741","170,439","218,948","44,838","9,442"
"Bryan, TX",579,64,317,448,34,49,"230,741","32,271","46,148","9,381","1,957"
"Buffalo, NY","4,713",323,"1,228","2,971",95,209,"1,090,373","234,541","218,075","45,891","9,989"
"Burlington, VT","1,743",117,587,"1,165",65,91,"522,720","104,104","104,544","21,841","4,714"
"Camden, NJ","6,527",701,"2,294","4,410",293,497,"2,208,721","489,214","441,744","93,226","20,362"
"Canton, OH","1,441",209,706,"1,073",97,153,"495,349","113,936","99,070","20,988","4,605"
"Cape Girardeau, MO",859,80,398,629,43,62,"202,898","45,230","40,580","8,570","1,873"
"Casper, WY",633,32,378,505,20,26,"152,884","31,930","30,577","6,416","1,392"
"Cedar Rapids, IA",799,44,364,581,22,33,"234,872","48,228","46,974","9,841","2,131"
"Charleston, SC","3,013",329,975,"1,994",101,215,"914,407","196,315","182,881","38,477","8,374"
"Charleston, WV","2,620",284,"1,167","1,894",97,190,"650,209","155,752","130,042","27,667","6,100"
"Charlotte, NC","4,873",770,"1,465","3,169",249,510,"2,024,238","353,589","404,848","83,639","17,806"
"Charlottesville, VA","1,326",155,433,879,35,95,"477,802","100,652","95,560","20,069","4,358"
"Chattanooga, TN","1,928",247,651,"1,290",59,153,"567,490","121,347","113,498","23,870","5,192"
"Chicago, IL","7,764",912,"3,161","5,462",312,612,"2,045,072","306,266","409,014","83,532","17,529"
"Chico, CA",537,51,153,345,23,37,"239,882","53,947","47,976","10,140","2,219"
"Cincinnati, OH","3,808",567,"1,537","2,673",185,376,"1,293,436","245,509","258,687","53,815","11,554"
"Clearwater, FL","1,571",160,719,"1,145",44,102,"434,821","131,578","86,964","19,023","4,327"
"Cleveland, OH","7,233",885,"2,631","4,932",306,595,"1,602,896","353,619","320,579","67,629","14,764"
"Colorado Springs, CO","1,295",149,555,925,62,106,"673,350","119,939","134,670","27,866","5,944"
"Columbia, MO","1,883",199,901,"1,392",77,138,"557,924","115,795","111,585","23,401","5,073"
"Columbia, SC","3,026",398,"1,053","2,040",151,275,"975,665","189,632","195,133","40,678","8,756"
"Columbus, GA","1,105",75,547,826,33,54,"280,815","48,222","56,163","11,587","2,463"
"Columbus, OH","6,449",679,"2,792","4,620",235,457,"2,405,737","441,233","481,147","99,801","21,352"
"Contra Costa County, CA","1,727",203,675,"1,201",81,142,"844,608","159,096","168,922","35,118","7,534"
"Corpus Christi, TX","1,135",167,357,746,38,102,"439,951","83,055","87,990","18,296","3,926"
"Covington, KY",828,93,280,554,39,66,"327,040","57,022","65,408","13,511","2,876"
"Dallas, TX","10,585","1,292","3,679","7,132",450,871,"3,918,830","583,050","783,766","159,993","33,556"
"Danville, PA","1,664",171,510,"1,087",33,102,"481,423","99,782","96,285","20,190","4,376"
"Davenport, IA","1,614",139,699,"1,157",66,102,"379,562","86,153","75,912","16,060","3,518"
"Dayton, OH","2,070",294,749,"1,410",89,192,"825,712","177,147","165,142","34,743","7,560"
"Dearborn, MI","1,439",188,462,951,95,142,"382,586","75,636","76,517","15,975","3,445"
"Denver, CO","5,593",843,"2,269","3,931",325,584,"2,380,353","379,848","476,071","97,671","20,614"
"Des Moines, IA","2,760",173,"1,193","1,977",76,125,"869,785","168,710","173,957","36,257","7,802"
"Detroit, MI","4,123",509,"1,333","2,728",163,336,"1,315,527","254,755","263,105","54,830","11,797"
"Dothan, AL","1,335",108,504,919,33,71,"290,096","65,608","58,019","12,270","2,687"
"Dubuque, IA",518,18,228,373,8,13,"125,779","28,314","25,156","5,318","1,164"
"Duluth, MN","1,319",217,508,914,73,145,"274,471","63,578","54,894","11,638","2,555"
"Durham, NC","4,505",790,"1,125","2,815",241,516,"1,097,252","224,839","219,450","45,967","9,951"
"East Long Island, NY","9,897",928,"1,230","5,564",235,582,"3,811,249","751,403","762,250","159,104","34,299"
"El Paso, TX","2,086",274,753,"1,420",51,162,"839,182","146,112","167,836","34,665","7,378"
"Elgin, IL","1,239",142,475,857,67,104,"610,597","100,811","122,119","25,118","5,318"
"Elmira, NY","1,036",94,361,699,14,54,"255,069","58,415","51,014","10,803","2,369"
"Elyria, OH",453,63,214,333,21,42,"200,261","44,042","40,052","8,447","1,843"
"Erie, PA","1,904",184,706,"1,305",88,136,"561,138","130,069","112,228","23,795","5,225"
"Eugene, OR","1,208",138,416,812,64,101,"603,572","141,016","120,714","25,615","5,630"
"Evanston, IL","2,032",332,666,"1,349",137,234,"711,961","162,705","142,392","30,146","6,609"
"Evansville, IN","2,154",328,"1,050","1,602",157,243,"528,945","115,347","105,789","22,292","4,860"
"Everett, WA",951,83,319,635,26,55,"542,404","104,811","108,481","22,603","4,862"
"Fargo/Moorhead MN, ND","1,872",180,734,"1,303",48,114,"432,080","90,275","86,416","18,134","3,934"
"Flint, MI","1,375",161,458,916,58,109,"426,480","89,340","85,296","17,904","3,885"
"Florence, SC","1,248",224,481,865,79,151,"287,862","62,812","57,572","12,132","2,645"
"Fort Collins, CO",704,31,341,523,14,22,"287,995","47,223","57,599","11,841","2,506"
"Fort Lauderdale, FL","7,323",908,"2,753","5,038",292,600,"2,396,614","619,365","479,323","102,839","22,893"
"Fort Myers, FL","3,115",268,"1,089","2,102",97,182,"1,079,022","373,713","215,804","48,103","11,163"
"Fort Smith, AR",931,87,487,709,55,71,"281,971","62,427","56,394","11,901","2,599"
"Fort Wayne, IN","2,442",376,"1,038","1,740",143,259,"651,379","132,442","130,276","27,269","5,898"
"Fort Worth, TX","4,200",501,"1,400","2,800",187,344,"1,764,292","277,941","352,858","72,324","15,247"
"Fresno, CA","1,935",205,547,"1,241",77,141,"918,145","146,620","183,629","37,675","7,952"
"Gainesville, FL","1,834",303,469,"1,152",88,195,"464,038","96,829","92,808","19,473","4,224"
"Gary, IN","1,434",179,638,"1,036",95,137,"392,167","80,990","78,433","16,441","3,562"
"Grand Forks, ND",952,31,374,663,18,24,"130,084","25,793","26,017","5,433","1,172"
"Grand Junction, CO",696,75,321,509,33,54,"270,519","57,077","54,104","11,364","2,468"
"Grand Rapids, MI","2,440",236,957,"1,699",86,161,"933,913","171,359","186,783","38,745","8,289"
"Great Falls, MT",937,50,367,652,27,39,"114,922","25,583","22,984","4,853","1,061"
"Greeley, CO",792,79,396,594,28,54,"294,267","55,594","58,853","12,238","2,626"
"Green Bay, WI",990,112,498,744,43,77,"402,953","88,095","80,591","16,986","3,704"
"Greensboro, NC","1,224",135,362,793,47,91,"505,727","100,544","101,145","21,128","4,559"
"Greenville, NC","1,977",339,631,"1,304",115,227,"679,309","136,432","135,862","28,406","6,136"
"Greenville, SC","2,217",282,798,"1,507",41,161,"743,619","153,533","148,724","31,175","6,755"
"Gulfport, MS",609,80,287,448,40,60,"159,671","28,559","31,934","6,610","1,411"
"Hackensack, NJ","3,819",175,"1,057","2,438",98,137,"1,048,868","200,075","209,774","43,658","9,379"
"Harlingen, TX","1,145",120,536,840,44,82,"418,633","76,061","83,727","17,353","3,709"
"Harrisburg, PA","2,426",211,929,"1,677",61,136,"825,408","183,199","165,082","34,846","7,613"
"Hartford, CT","2,855",323,751,"1,803",115,219,"1,196,337","245,503","239,267","50,125","10,853"
"Hattiesburg, MS","1,546",85,504,"1,025",30,57,"240,419","46,076","48,084","10,011","2,152"
"Hickory, NC",603,64,253,428,25,45,"229,268","51,364","45,854","9,688","2,119"
"Hinsdale, IL","1,041",172,402,721,89,130,"385,733","67,856","77,147","15,947","3,397"
"Honolulu, HI","2,623",219,795,"1,709",73,146,"1,114,023","238,126","222,805","46,857","10,192"
"Houma, LA",707,65,399,553,32,49,"206,176","37,957","41,235","8,556","1,831"
"Houston, TX","14,062","1,790","5,130","9,596",652,"1,221","5,278,689","769,270","1,055,738","215,206","45,055"
"Hudson, FL","1,188",160,329,758,45,102,"351,228","112,737","70,246","15,489","3,553"
"Huntington, WV","1,561",162,382,971,64,113,"276,340","63,341","55,268","11,704","2,567"
"Huntsville, AL","1,804",248,569,"1,187",59,154,"506,155","100,153","101,231","21,137","4,558"
"Idaho Falls, ID",492,44,269,381,24,34,"169,856","28,437","33,971","6,995","1,483"
"Indianapolis, IN","7,441","1,081","3,350","5,396",403,742,"2,249,394","412,838","449,879","93,321","19,966"
"Iowa City, IA","1,414",147,538,976,64,106,"279,218","53,012","55,844","11,618","2,494"
"Jackson, MS","4,425",406,"1,964","3,194",149,277,"792,834","152,349","158,567","33,022","7,099"
"Jackson, TN","1,063",115,423,743,57,86,"256,100","58,414","51,220","10,842","2,376"
"Jacksonville, FL","4,947",618,"1,625","3,286",183,400,"1,340,118","254,567","268,024","55,761","11,973"
"Johnson City, TN",956,94,342,649,39,66,"235,522","51,395","47,104","9,926","2,164"
"Johnstown, PA",741,44,426,584,25,35,"170,816","45,254","34,163","7,351","1,642"
"Joliet, IL","1,376",149,662,"1,019",53,101,"516,812","90,546","103,362","21,359","4,549"
"Jonesboro, AR",975,76,403,689,23,50,"185,969","38,518","37,194","7,799","1,690"
"Joplin, MO","1,045",124,507,776,71,97,"282,798","63,826","56,560","11,959","2,618"
"Kalamazoo, MI","1,462",139,681,"1,072",21,80,"520,196","104,986","104,039","21,762","4,703"
"Kansas City, MO","6,736",795,"2,646","4,691",286,541,"1,950,902","362,250","390,180","81,017","17,355"
"Kettering, OH",923,138,412,667,42,90,"334,281","73,199","66,856","14,093","3,074"
"Kingsport, TN","1,485",185,668,"1,077",75,130,"375,852","93,948","75,170","16,067","3,562"
"Knoxville, TN","3,193",299,"1,198","2,195",74,186,"1,108,058","250,729","221,612","46,870","10,263"
"La Crosse, WI",650,78,286,468,44,61,"279,590","60,747","55,918","11,779","2,567"
"Lafayette, IN",457,34,193,325,14,24,"199,535","31,824","39,907","8,187","1,728"
"Lafayette, LA","1,716",188,700,"1,208",87,137,"477,559","85,840","95,512","19,778","4,223"
"Lake Charles, LA",830,81,424,627,44,62,"210,604","37,934","42,121","8,724","1,863"
"Lakeland, FL","1,046",103,382,714,57,80,"317,384","73,118","63,477","13,450","2,951"
"Lancaster, PA","1,081",98,468,774,40,69,"528,715","112,509","105,743","22,229","4,833"
"Lansing, MI","1,444",240,632,"1,038",115,177,"561,636","102,892","112,327","23,297","4,984"
"Las Vegas, NV","4,165",761,"1,088","2,626",162,462,"1,704,994","321,669","340,999","70,902","15,213"
"Lawton, OK",733,76,346,539,32,54,"152,745","28,422","30,549","6,344","1,359"
"Lebanon, NH",939,105,333,636,56,80,"320,499","77,792","64,100","13,657","3,016"
"Lexington, KY","5,045",579,"2,073","3,559",172,375,"1,192,842","231,348","238,568","49,724","10,700"
"Lincoln, NE","2,047",116,"1,016","1,532",33,75,"459,005","93,970","91,801","19,228","4,162"
"Little Rock, AR","4,854",520,"2,174","3,514",177,348,"1,212,482","258,840","242,496","50,992","11,090"
"Longview, TX",224,45,98,161,21,33,"161,316","33,367","32,263","6,764","1,466"
"Los Angeles, CA","19,492","2,415","6,594","13,043",942,"1,679","7,874,162","1,268,093","1,574,832","323,312","68,296"
"Louisville, KY","4,162",506,"1,700","2,931",165,335,"1,385,741","271,762","277,148","57,822","12,458"
"Lubbock, TX","1,811",298,922,"1,367",85,191,"546,461","91,980","109,292","22,513","4,776"
"Lynchburg, VA","1,174",55,309,741,20,37,"217,344","49,862","43,469","9,206","2,019"
"Macon, GA","2,295",240,865,"1,580",57,149,"568,689","111,226","113,738","23,724","5,110"
"Madison, WI","2,443",267,838,"1,640",121,194,"886,932","165,619","177,386","36,850","7,898"
"Manchester, NH","1,603",137,582,"1,092",53,95,"714,679","143,594","142,936","29,886","6,456"
"Manhattan, NY","14,834","1,427","3,059","8,946",616,"1,021","4,173,437","725,342","834,687","172,372","36,678"
"Marquette, MI",601,47,276,438,18,32,"159,278","39,415","31,856","6,802","1,506"
"Marshfield, WI",706,68,281,494,34,51,"295,582","70,770","59,116","12,577","2,773"
"Mason City, IA",470,18,239,354,6,12,"100,326","26,837","20,065","4,322",967
